	Target node	HUGO names	Interaction type	Source	Description	Reference: PMID	Logical rule
138	E_cadherin	CDH1	-	NF_kB	From Fumia et al, 2013	23922675	((beta_catenin | AR_ERG) & !Snail & !ERG & !NF_kB & !Slug)
139	E_cadherin	CDH1	-	Slug	From Fumia et al, 2013	23922675	((beta_catenin | AR_ERG) & !Snail & !ERG & !NF_kB & !Slug)
140	E_cadherin	CDH1	-	Snail	From Fumia et al, 2013	23922675	((beta_catenin | AR_ERG) & !Snail & !ERG & !NF_kB & !Slug)
141	E2F1	E2F1, E2F2, E2F3	+	AR	FOXA1 promotes cell growth in an AR-dependent manner. 	26114156	((AR | (FOXA1 & AR) | (ATR & AR) | (ATM & AR)) & !RB1 & !MXI1)
142	E2F1	E2F1, E2F2, E2F3	+	ATM	atm/atr-mediated phosphorylation inhibits the binding and function of skp2 and thus prevents the normal degradation of e2f1	11459832	((AR | (FOXA1 & AR) | (ATR & AR) | (ATM & AR)) & !RB1 & !MXI1)
143	E2F1	E2F1, E2F2, E2F3	+	ATR	atm/atr-mediated phosphorylation inhibits the binding and function of skp2 and thus prevents the normal degradation of e2f1	11459832	((AR | (FOXA1 & AR) | (ATR & AR) | (ATM & AR)) & !RB1 & !MXI1)
144	E2F1	E2F1, E2F2, E2F3	+	FOXA1	FOXA1 promotes cell growth in an AR-dependent manner. 	26114156	((AR | (FOXA1 & AR) | (ATR & AR) | (ATM & AR)) & !RB1 & !MXI1)
145	E2F1	E2F1, E2F2, E2F3	-	MXI1	MXI1 inhibits E2F1 thorugh RB1	27451126	((AR | (FOXA1 & AR) | (ATR & AR) | (ATM & AR)) & !RB1 & !MXI1)
146	E2F1	E2F1, E2F2, E2F3	-	RB1	From Traynard et al, 2016	27587700	((AR | (FOXA1 & AR) | (ATR & AR) | (ATM & AR)) & !RB1 & !MXI1)
147	eEF2	EEF2	-	eEF2K	From Fumia et al, 2013	23922675	(!eEF2K)
148	eEF2K	EEF2K	+	p70S6kab	From Fumia et al, 2013	23922675	(p90RSK | p70S6kab)
149	eEF2K	EEF2K	+	p90RSK	From Fumia et al, 2013	23922675	(p90RSK | p70S6kab)
150	EGF	input	input	0/1	Input of the model		(EGF)
151	EGFR	EGFR	+	Androgen	presence of the AR affect EGF receptor (EGFR)-mediated signaling in response to EGF	"15288768, 19318561
"	((!TGFBR & !FRS2 & !EGFR & !PKC & (ERK | Androgen | EGF)) | (!TGFBR & !FRS2 & (Androgen | EGF)))
152	EGFR	EGFR	+	EGF	After binding of epidermal growth factor (EGF), the EGF receptor (EGFR) becomes autophosphorylated via tyrosine.	10653583	((!TGFBR & !FRS2 & !EGFR & !PKC & (ERK | Androgen | EGF)) | (!TGFBR & !FRS2 & (Androgen | EGF)))
153	EGFR	EGFR	-	EGFR	Initially, an autophosphorylation reaction creates docking sites for several signaling proteins, including a Cbl binding site at tyrosine 1045 of EGFR. Second, EGFR trans-phosphorylates Cbl at a linker domain, which activates an associated ubiquitin ligase activity.	10635327	((!TGFBR & !FRS2 & !EGFR & !PKC & (ERK | Androgen | EGF)) | (!TGFBR & !FRS2 & (Androgen | EGF)))
154	EGFR	EGFR	+	ERK	It is likely that the MAP2 and ERT kinases account for the phosphorylation of the egf receptor at thr669 observed in cultured cells.	10816576	((!TGFBR & !FRS2 & !EGFR & !PKC & (ERK | Androgen | EGF)) | (!TGFBR & !FRS2 & (Androgen | EGF)))
155	EGFR	EGFR	-	FRS2	FRS2 is a major downstream effector that links fibroblast growth factor (FGF) and nerve growth factor receptors with the Ras/mitogen-activated protein kinase signaling cascade	11353842	((!TGFBR & !FRS2 & !EGFR & !PKC & (ERK | Androgen | EGF)) | (!TGFBR & !FRS2 & (Androgen | EGF)))
156	EGFR	EGFR	-	PKC	These data indicate that activation of protein kinase C and subsequent phosphorylation of the EGF receptor at T654 lead to rapid physiological attenuation of EGF receptor signaling.	1860884	((!TGFBR & !FRS2 & !EGFR & !PKC & (ERK | Androgen | EGF)) | (!TGFBR & !FRS2 & (Androgen | EGF)))
157	EGFR	EGFR	-	TGFBR	Our data indicate that a subset of cell lines is dependent on TGF-mediated activation of the EGFR for cell proliferation and strongly suggest that pancreatic tumors expressing high levels of TGF and phosphorylated (activated) EGFR are EGFR-dependent in vitro and in vivo.	16585207	((!TGFBR & !FRS2 & !EGFR & !PKC & (ERK | Androgen | EGF)) | (!TGFBR & !FRS2 & (Androgen | EGF)))
158	EMT		+	AR_ERG	ERG can fuse with TMPRSS2 protein to form an oncogenic fusion gene that is commonly found in human prostate cancer, especially in hormone-refractory prostate cancer.	23264855	(CDH2 & !E_cadherin & !FOXA1)
159	EMT		+	beta_catenin	beta-catenin expression is a marker of EMT	21412939	(CDH2 & !E_cadherin & !FOXA1)
160	EMT		+	CDH2	N-cadherin expression is a marker of EMT	21412939	(CDH2 & !E_cadherin & !FOXA1)
161	EMT		-	E_cadherin	loss of E-cadherin expression is a marker of EMT	21412939	(CDH2 & !E_cadherin & !FOXA1)
162	EMT		-	FOXA1	FoxA1 inhibits cell motility and epithelial-to-mesenchymal transition (EMT) 	23539448	(CDH2 & !E_cadherin & !FOXA1)
163	EP300	EP300	+	AKT	Histone deacetylase inhibitors stimulate active NF-kappaB transcription and cell survival through signaling pathways involving Akt and increased p300 acetyltransferase activity	16926151	(AKT)
164	ERG	ERG	+	ERK	The ability of ERK2 to bind ERG with higher affinity than ETS1 provided a potential molecular explanation for why ERG overexpression drives migration of prostate cells with low levels of RAS/ERK signaling, while ETS1 has a similar function only when RAS/ERK signaling is high. 	25885538	(ERK)
165	ERK	MAPK3, MAPK1	+	MEK1_2	Mapk1 is phosphorylated by map2k1/mek1 and map2k2/mek2	11971971	(RAF | MEK1_2)
166	ERK	MAPK3, MAPK1	+	RAF	From Fumia et al, 2013	23922675	(RAF | MEK1_2)
167	ETS1	ETS1	+	ERK	Signor: MAPK3 (ERK1/2) -> ETS1	11948414	(!p53 & (RTK | ERK))
168	ETS1	ETS1	-	p53	Signor: TP53 -| ETS1	14586398	(!p53 & (RTK | ERK))
169	ETS1	ETS1	+	RTK	Signor: MAPK7 -> ETS1	12048211	(!p53 & (RTK | ERK))
170	ETV1	ETV1	+	ETS1	ETS1 fuses with ETV1 in prostate cancer	19657377	(ETS1 | MEK1_2)
171	ETV1	ETV1	+	MEK1_2	Signor: MEK -> ETV1	20626350	(ETS1 | MEK1_2)
172	EZH2	EZH2	+	AKT	Phosphorylation of EZH2 at Ser21, mediated directly or indirectly by the PI3K-Akt pathway, can switch its function from a Polycomb repressor to a transcriptional coactivator of AR (and potentially other factors).	23239736	(AKT & E2F1 & (ERG | AR_ERG))
173	EZH2	EZH2	+	AR_ERG	The association of EZH2 overexpression and TMPRSS2-ERG fusions is most probably caused by transactivation of the EZH2 promoter by ERG.	26392259	(AKT & E2F1 & (ERG | AR_ERG))
174	EZH2	EZH2	+	E2F1	The pRB-E2F1 pathway tightly regulates EZH2 expression.	14532106	(AKT & E2F1 & (ERG | AR_ERG))
175	EZH2	EZH2	+	ERG	The association of EZH2 overexpression and TMPRSS2-ERG fusions is most probably caused by transactivation of the EZH2 promoter by ERG.	26392259	(AKT & E2F1 & (ERG | AR_ERG))
176	FADD	FADD	-	MAP3K1_3	The results clearly show that fadd phosphorylation at ser194 affects functions both upstream and downstream of the mekk1/mkk7/jnk1 pathway and is closely associated with chemosensitivity in prostate cancer cells	15001534	(PTCH1 | TNFalpha) & !SHH & !MAP3K1_3
177	FADD	FADD	+	PTCH1	Aggregation-induced conformational changes in fas lead to the formation of the death-inducing signalling complex (disc) which involves recruitment of the adaptor protein fadd/mort1 through a homotypic interaction of death domains, present in both the intracellular region of fas and the c-terminus of fadd.	21959933	(PTCH1 | TNFalpha) & !SHH & !MAP3K1_3
178	FADD	FADD	-	SHH	SHH -| PTCH1 -> FADD	14556242, 21959933	(PTCH1 | TNFalpha) & !SHH & !MAP3K1_3
179	FADD	FADD	+	TNFalpha	From Fumia et al, 2013	23922675	(PTCH1 | TNFalpha) & !SHH & !MAP3K1_3
180	FGF	FGF1, FGF2, FGF3, FGF4, FGF5, FGF6, FGF7, FGF8, FGF9, FGF10	input	0/1	Input of the model		(FGF)
181	FGFR3	FGFR3	+	FGF	Crystal structure of a ternary fgf-fgfr-heparin complex reveals a dual role for heparin in fgfr binding and dimerization.	11030354	((FGF | (FGF & RUNX2)) & !FRS2 & !PKC & !TGFBR)
182	FGFR3	FGFR3	-	FRS2	FGF stimulation induces tyrosine phosphorylation of a novel lipid anchored docking protein, termed FRS2	9182757	((FGF | (FGF & RUNX2)) & !FRS2 & !PKC & !TGFBR)
183	FGFR3	FGFR3	-	PKC	Phosphorylation of serine 779 in fibroblast growth factor receptor 1 and 2 by protein kinase c(epsilon) regulates ras/mitogen-activated protein kinase signaling and neuronal differentiationour findings show that in addition to fgfr tyrosine phosphorylation, the phosphorylation of a conserved serine residue, ser(779), can quantitatively control ras/mapk signaling to promote specific cellular responses.	23564461	((FGF | (FGF & RUNX2)) & !FRS2 & !PKC & !TGFBR)
184	FGFR3	FGFR3	+	RUNX2	Runx2 is required for the proliferation of osteoblast progenitors and induces proliferation, at least partly, by regulating Fgfr2 and Fgfr3 expression	30202094	((FGF | (FGF & RUNX2)) & !FRS2 & !PKC & !TGFBR)
185	FGFR3	FGFR3	-	TGFBR	Our data indicate that a subset of cell lines is dependent on TGF-mediated activation of the EGFR for cell proliferation and strongly suggest that pancreatic tumors expressing high levels of TGF and phosphorylated (activated) EGFR are EGFR-dependent in vitro and in vivo.	16585207	((FGF | (FGF & RUNX2)) & !FRS2 & !PKC & !TGFBR)
186	FOS	FOS	+	AR	c-Jun, when complexed with Fos, exhibits a bell-shaped activity on androgen receptor-mediated transactivation which appears to be distinct from c-Jun's transactivation ability	9591784	(ERK | ETS1 | AR)
187	FOS	FOS	+	ERK	From Fumia et al, 2013	23922675	(ERK | ETS1 | AR)
188	FOS	FOS	+	ETS1	The c-ets proto-oncogenes encode transcription factors that cooperate with c-Fos and c-Jun for transcriptional activation.	2114554	(ERK | ETS1 | AR)
189	FOXA1	FOXA1	+	FOXO	Genecard: according to QIAGEN binding sites: FOXO4 -> FOXA1	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXA1&keywords=FOXA1	(FOXO)
190	FOXO	FOXO1, FOXO3, FOXO4, FOXO6	-	AKT	From Fumia et al, 2013	23922675	(MAP3K1_3 & JNK & !AKT)
191	FOXO	FOXO1, FOXO3, FOXO4, FOXO6	+	JNK	Braf(v600e) signaling through mitogen-activated protein kinase/extracellular signal-regulated kinase kinase resulted in increased reactive oxygen species levels and c-jun nh(2) terminal kinase-mediated activation of foxo4	20959475	(MAP3K1_3 & JNK & !AKT)
192	FRS2	FRS2	+	EGFR	EGFR and FGFR signaling through FRS2 is subject to negative feedback control by ERK1/2	12974390	(!ERK & !EGFR & FGFR3 & !FRS2 & !TGFBR)
193	FRS2	FRS2	-	ERK	EGFR and FGFR signaling through FRS2 is subject to negative feedback control by ERK1/2	12974390	(!ERK & !EGFR & FGFR3 & !FRS2 & !TGFBR)
194	FRS2	FRS2	+	FGFR3	FGF stimulation induces tyrosine phosphorylation of a novel lipid anchored docking protein, termed FRS2	9182757	(!ERK & !EGFR & FGFR3 & !FRS2 & !TGFBR)
195	FRS2	FRS2	-	FRS2	EGFR and FGFR signaling through FRS2 is subject to negative feedback control by ERK1/2	12974390	(!ERK & !EGFR & FGFR3 & !FRS2 & !TGFBR)
196	FRS2	FRS2	-	TGFBR	TGFbR1 levels are increased when FRS2, an FGFR coactivator, is depleted using shRNA	23200853	(!ERK & !EGFR & FGFR3 & !FRS2 & !TGFBR)
197	fused_event	TMPRSS2	input	0/1	TMPRSS2-Ets gene fusions were identified in prostate cancers where the promoter of transmembrane protease, serine 2 (TMPRSS2) fused with coding sequence of the erythroblastosis virus E26 (Ets) gene family members. TMPRSS2, SLC45A3 and NDRG1 are the androgen induced genes fusioned with ERG. SLC45A3 is also fusioned with ETV1 sometimes but this is outside the scope of the model up to now.	23264855, 20118910	(fused_event)
198	fused_event	SLC45A3	input	0/1	TMPRSS2 and SLC45A3 were the only 5' partner in 78% and 6% of these ERG rearranged cases, respectively. TMPRSS2, SLC45A3 and NDRG1 are the androgen induced genes fusioned with ERG. SLC45A3 is also fusioned with ETV1 sometimes but this is outside the scope of the model up to now.	20118910	(fused_event)
199	fused_event	NDRG1	input	0/1	ERG gene rearrangements and mechanism of rearrangement, as well as rearrangements of TMPRSS2, SLC45A3, and NDRG1, were assessed using fluorescence in situ hybridization (FISH) on prostate cancer samples from 614 patients treated using radical prostatectomy. TMPRSS2, SLC45A3 and NDRG1 are the androgen induced genes fusioned with ERG. SLC45A3 is also fusioned with ETV1 sometimes but this is outside the scope of the model up to now.	20118910	(fused_event)
200	GADD45	GADD45A	+	p53	P53 acetylated at k120 subsequently bound to the promoters of its target apoptotic genes, bax and gadd45, to promote their expression and lead to apoptosis.	23576563	(SMAD | p53)
201	GADD45	GADD45A	+	SMAD	TGF-β-induced activation of p38 MAP kinase is required for TGF-β-induced apoptosis, epithelial-to-mesenchymal transition (EMT), but not growth arrest	12110587	(SMAD | p53)
202	GLI	GLI1, GLI2	+	SMO	The binding of SHH relieves SMO inhibition, leading to activation of the GLI transcription factors	11001584	((WNT | SMO) & !SPOP)
203	GLI	GLI1, GLI2	-	SPOP	Stabilization of speckle-type POZ protein (Spop) by Daz interacting protein 1 (Dzip1) is essential for Gli turnover and the proper output of Hedgehog signaling.	24072710	((WNT | SMO) & !SPOP)
204	GLI	GLI1, GLI2	+	WNT	nt/β-catenin signaling induces expression of an RNA-binding protein, CRD-BP, which, in turn, binds and stabilizes GLI1 mRNA, causing an elevation of GLI1 expression and transcriptional activity.	19887615	((WNT | SMO) & !SPOP)
205	GLUT1	SLC2A1	+	AKT	From Fumia et al, 2013	23922675	((HIF1 | MYC_MAX | AKT) & Nutrients)
206	GLUT1	SLC2A1	+	HIF1	From Fumia et al, 2013	23922675	((HIF1 | MYC_MAX | AKT) & Nutrients)
207	GLUT1	SLC2A1	+	MYC_MAX	From Fumia et al, 2013	23922675	((HIF1 | MYC_MAX | AKT) & Nutrients)
208	GLUT1	SLC2A1	+	Nutrients	GLUT1 transports glucose to begin Glycolysis.	29105798	((HIF1 | MYC_MAX | AKT) & Nutrients)
209	GSH	GSS 	+	MYC_MAX	From Fumia et al, 2013	23922675	(MYC_MAX | NF_kB | p21)
210	GSH	GSS 	+	NF_kB	From Fumia et al, 2013	23922675	(MYC_MAX | NF_kB | p21)
211	GSH	GSS 	+	p21	From Fumia et al, 2013	23922675	(MYC_MAX | NF_kB | p21)
212	GSK3	GSK3A, GSK3B	-	AKT	From Fumia et al, 2013	23922675	(!AKT & !Dsh & MEK1_2 & !mTORC2 & !p90RSK)
213	GSK3	GSK3A, GSK3B	-	Dsh	From Fumia et al, 2013	23922675	(!AKT & !Dsh & MEK1_2 & !mTORC2 & !p90RSK)
214	GSK3	GSK3A, GSK3B	+	MEK1_2	mek1/2 induces tyrosine phosphorylation of gsk-3beta and this cellular event might induce nuclear translocation of gsk-3beta	15020233	(!AKT & !Dsh & MEK1_2 & !mTORC2 & !p90RSK)
215	GSK3	GSK3A, GSK3B	-	mTORC2	From Fumia et al, 2013	23922675	(!AKT & !Dsh & MEK1_2 & !mTORC2 & !p90RSK)
216	GSK3	GSK3A, GSK3B	-	p90RSK	From Fumia et al, 2013	23922675	(!AKT & !Dsh & MEK1_2 & !mTORC2 & !p90RSK)
217	HIF1	HIF1A	-	FOXO	FOXO3a inhibits HIF1-induced apoptosis by stimulating the transcription of CITED2	18158893	(!PHDs & !VHL & !p53 & !FOXO & (HSPs | mTORC1 | mTORC2 | Hypoxia | MYC_MAX))
218	HIF1	HIF1A	+	HSPs	Many of the antivascular effects of Hsp90 inhibitors are likely due to the ability of this class of inhibitors to downregulate HIF activity. We and others have shown that both the HIF-1α and HIF-2α subunits are client proteins for Hsp90 and that chaperone activity is required for HIF stability and function. (PMID:2902748)	2902748	(!PHDs & !VHL & !p53 & !FOXO & (HSPs | mTORC1 | mTORC2 | Hypoxia | MYC_MAX))
219	HIF1	HIF1A	+	Hypoxia	From Fumia et al, 2013	23922675	(!PHDs & !VHL & !p53 & !FOXO & (HSPs | mTORC1 | mTORC2 | Hypoxia | MYC_MAX))
220	HIF1	HIF1A	+	mTORC1	From Fumia et al, 2013	23922675	(!PHDs & !VHL & !p53 & !FOXO & (HSPs | mTORC1 | mTORC2 | Hypoxia | MYC_MAX))
221	HIF1	HIF1A	+	mTORC2	From Fumia et al, 2013	23922675	(!PHDs & !VHL & !p53 & !FOXO & (HSPs | mTORC1 | mTORC2 | Hypoxia | MYC_MAX))
222	HIF1	HIF1A	+	MYC_MAX	From Fumia et al, 2013	23922675	(!PHDs & !VHL & !p53 & !FOXO & (HSPs | mTORC1 | mTORC2 | Hypoxia | MYC_MAX))
223	HIF1	HIF1A	-	p53	From Fumia et al, 2013	23922675	(!PHDs & !VHL & !p53 & !FOXO & (HSPs | mTORC1 | mTORC2 | Hypoxia | MYC_MAX))
224	HIF1	HIF1A	-	PHDs	From Fumia et al, 2013	23922675	(!PHDs & !VHL & !p53 & !FOXO & (HSPs | mTORC1 | mTORC2 | Hypoxia | MYC_MAX))
225	HIF1	HIF1A	-	VHL	From Fumia et al, 2013	23922675	(!PHDs & !VHL & !p53 & !FOXO & (HSPs | mTORC1 | mTORC2 | Hypoxia | MYC_MAX))
226	HSPs	HSP90AA1, HSP90AB1, HSP90B1, HSPA1A, HSPA1B, HSPB1	-	AKT	First, the akt1, akt2, and akt3 isoforms can bind directly to hsp27 and can be found in a complex with p38 mapk, mk2, and hsp27 [98_100]. Second, rane and colleagues showed that akt could phosphorylate hsp27 at ser-82, but not ser-15 or ser-78, in vitro, while co-expression of an active akt mutant and hsp27 in hek cells resulted in hsp27 phosphorylation at the same residue.	19593530	((PKC | FOXA1 | Carcinogen) & !BRCA1 & !E2F1 & !AKT)
227	HSPs	HSP90AA1, HSP90AB1, HSP90B1, HSPA1A, HSPA1B, HSPB1	-	BRCA1	We report here that glucose-regulated protein (GRP)-78, a critical regulator of the unfolded protein response (UPR), is a novel downstream target of BRCA1. We showed that overexpression of wild-type BRCA1 suppressed the expression of GRP78, whereas expression of mutant BRCA1 gene or targeted inhibition of endogenous BRCA1 using small-interfering RNA (siRNA) enhanced GRP78 expression.	18776923	((PKC | FOXA1 | Carcinogen) & !BRCA1 & !E2F1 & !AKT)
228	HSPs	HSP90AA1, HSP90AB1, HSP90B1, HSPA1A, HSPA1B, HSPB1	+	Carcinogen	Although Hsp levels are not informative at the diagnostic level, they are useful biomarkers for carcinogenesis in some tissues	16038406	((PKC | FOXA1 | Carcinogen) & !BRCA1 & !E2F1 & !AKT)
229	HSPs	HSP90AA1, HSP90AB1, HSP90B1, HSPA1A, HSPA1B, HSPB1	-	E2F1	we show that E2F1 represses GRP78/BIP at the transcriptional level, and this requires its DNA binding domain.	18840615	((PKC | FOXA1 | Carcinogen) & !BRCA1 & !E2F1 & !AKT)
230	HSPs	HSP90AA1, HSP90AB1, HSP90B1, HSPA1A, HSPA1B, HSPB1	+	FOXA1	The results showed overexpression of Foxa1 promoted the expression of HSP72, while Foxa1 depletion, induced by antisense oligonucleotides, decreased the expression of HSP72 in MCF-7 cells under normal and heat stress condition.	19486887	((PKC | FOXA1 | Carcinogen) & !BRCA1 & !E2F1 & !AKT)
231	HSPs	HSP90AA1, HSP90AB1, HSP90B1, HSPA1A, HSPA1B, HSPB1	+	PKC	Hsp22 is phosphorylated by protein kinase c (at residues ser(14) and thr(63)) and by p44 mitogen-activated protein kinase (at residues ser(27) and thr(87)). Concerning the possible function of hsp22, no definitive conclusions can be drawn with the available data, although its function might be to bind to and modulate the activity of hsp27.Some Studies claimed that phosphorylation is required for the translocation	22721717	((PKC | FOXA1 | Carcinogen) & !BRCA1 & !E2F1 & !AKT)
232	Hypoxia	input	input	0/1	Input of the model		(Hypoxia)
233	IDH1	IDH1	+	FOXA1	Genecard: Gene has two gene enhancers sequences: GH02I208264 and GH02I208251. SMAD and FOXA1 are part of the genes that could regulate these sequences	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IDH1&keywords=idh1	(SMAD | FOXA1 | mTORC2 | ((SMAD | mTORC2 | FOXA1) & MEK1_2))
234	IDH1	IDH1	+	MEK1_2	IDH1 gene transcription is sterol regulated and activated by SREBP-1a and SREBP-2 in human hepatoma HepG2 cells|evidence that IDH1 may regulate lipogenesis in hepatic cells	12923220	(SMAD | FOXA1 | mTORC2 | ((SMAD | mTORC2 | FOXA1) & MEK1_2))
235	IDH1	IDH1	+	mTORC2	IDH1 gene transcription is sterol regulated and activated by SREBP-1a and SREBP-2 in human hepatoma HepG2 cells|evidence that IDH1 may regulate lipogenesis in hepatic cells	12923220	(SMAD | FOXA1 | mTORC2 | ((SMAD | mTORC2 | FOXA1) & MEK1_2))
236	IDH1	IDH1	+	SMAD	Genecard: Gene has two gene enhancers sequences: GH02I208264 and GH02I208251. SMAD and FOXA1 are part of the genes that could regulate these sequences	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IDH1&keywords=idh1	(SMAD | FOXA1 | mTORC2 | ((SMAD | mTORC2 | FOXA1) & MEK1_2))
237	IKK	CHUK, IKBKB	+	AKT	From Fumia et al, 2013	23922675	((mTORC2 | AKT) & (PKC | TAK1 | ETS1) & !PHDs & !p53)
238	IKK	CHUK, IKBKB	+	ETS1	The transcriptional induction of the IKKalpha gene is positively regulated by binding ETS-1	15469934	((mTORC2 | AKT) & (PKC | TAK1 | ETS1) & !PHDs & !p53)
239	IKK	CHUK, IKBKB	+	mTORC2	From Fumia et al, 2013	23922675	((mTORC2 | AKT) & (PKC | TAK1 | ETS1) & !PHDs & !p53)
240	IKK	CHUK, IKBKB	-	p53	From Fumia et al, 2013. ETS-1 mediated activation of IKKalpha is negatively regulated by p53 binding to ETS-1. 	15469934	((mTORC2 | AKT) & (PKC | TAK1 | ETS1) & !PHDs & !p53)
241	IKK	CHUK, IKBKB	-	PHDs	From Fumia et al, 2013	23922675	((mTORC2 | AKT) & (PKC | TAK1 | ETS1) & !PHDs & !p53)
242	IKK	CHUK, IKBKB	+	PKC	From Fumia et al, 2013	23922675	((mTORC2 | AKT) & (PKC | TAK1 | ETS1) & !PHDs & !p53)
243	IKK	CHUK, IKBKB	+	TAK1	From Fumia et al, 2013	23922675	((mTORC2 | AKT) & (PKC | TAK1 | ETS1) & !PHDs & !p53)
244	Invasion	output	+	beta_catenin	Deletion of β-Catenin in a Pten deleted model of castration-resistant prostate cancer demonstrated it is dispensable for disease progression 	23300485	((CDH2 & SMAD) | (CDH2 & SMAD & EZH2) | beta_catenin)
245	Invasion	output	+	CDH2	N-cadherin is required for TGFbeta induced invasion 	15331629	((CDH2 & SMAD) | (CDH2 & SMAD & EZH2) | beta_catenin)
246	Invasion	output	+	EZH2	EZH2 regulates tumor invasion via the transcriptional repression of the metastasis suppressor RKIP in breast and prostate cancer.	22505648	((CDH2 & SMAD) | (CDH2 & SMAD & EZH2) | beta_catenin)
247	Invasion	output	+	SMAD	TGF-b induces MMP-2 and MMP-9 expresion, using SMAD (among others)	22614218	((CDH2 & SMAD) | (CDH2 & SMAD & EZH2) | beta_catenin)
248	JNK	MAPK8, MAPK9, MAPK10	+	ATM	DNA damage cuased by ROS activates ATM that activates JNK signalling	26791157	((ATM | GADD45 | TAK1 | MAP3K1_3) & !ERK & !p38)
249	JNK	MAPK8, MAPK9, MAPK10	-	ERK	We found that ERK inhibition increased JNK activity. 	16849472	((ATM | GADD45 | TAK1 | MAP3K1_3) & !ERK & !p38)
250	JNK	MAPK8, MAPK9, MAPK10	+	GADD45	From Fumia et al, 2013, via SMAD	23922675	((ATM | GADD45 | TAK1 | MAP3K1_3) & !ERK & !p38)
251	JNK	MAPK8, MAPK9, MAPK10	+	MAP3K1_3	Here we report that MKK4 shows a striking preference for the tyrosine residue (Tyr-185), and MKK7 a striking preference for the threonine residue (Thr-183) in three SAPK1/JNK1 isoforms tested (JNK1 alpha 1, JNK2 alpha 2 and JNK3 alpha 1).	11062067	((ATM | GADD45 | TAK1 | MAP3K1_3) & !ERK & !p38)
252	JNK	MAPK8, MAPK9, MAPK10	-	p38	Ablation of p38alpha results in excessive activation of JNK 	18704119	((ATM | GADD45 | TAK1 | MAP3K1_3) & !ERK & !p38)
253	JNK	MAPK8, MAPK9, MAPK10	+	TAK1	From Fumia et al, 2013, via TGFBR	23922675	((ATM | GADD45 | TAK1 | MAP3K1_3) & !ERK & !p38)
254	JUN	JUN	+	AR	c-Jun, when complexed with Fos, exhibits a bell-shaped activity on androgen receptor-mediated transactivation which appears to be distinct from c-Jun's transactivation ability	9591784	(AR | ETS1 | JNK)
255	JUN	JUN	+	ETS1	The c-ets proto-oncogenes encode transcription factors that cooperate with c-Fos and c-Jun for transcriptional activation.	2114554	(AR | ETS1 | JNK)
256	JUN	JUN	+	JNK	From Fumia et al, 2013	23922675	(AR | ETS1 | JNK)
257	Lactic_acid	LDHA	+	LDHA	From Fumia et al, 2013	23922675	(LDHA)
258	LDHA	LDHA	+	HIF1	From Fumia et al, 2013	23922675	(HIF1 | MYC_MAX | IDH1)
259	LDHA	LDHA	+	IDH1	IDH1 mutation is associated with silencing of the lactate dehydrogenase A (LDHA) gene and decreased glycolysis	24986863	(HIF1 | MYC_MAX | IDH1)
260	LDHA	LDHA	+	MYC_MAX	From Fumia et al, 2013	23922675	(HIF1 | MYC_MAX | IDH1)
261	MAP3K1_3	MAP3K1, MAP3K2, MAP3K3	-	FOS	it was revealed that miR-145-5p was able to suppress EMT by inactivating the c-Jun N-terminal kinase (JNK) signaling pathway in NSCLC cells.	29344125	(RAS & !(FOS | JUN | JNK | p38))
262	MAP3K1_3	MAP3K1, MAP3K2, MAP3K3	-	JNK	Overexpression of MAP3K1 was able to reverse the inhibition of EMT induced by miR-145-5p via the JNK signaling pathway. 	29344125	(RAS & !(FOS | JUN | JNK | p38))
263	MAP3K1_3	MAP3K1, MAP3K2, MAP3K3	-	JUN	it was revealed that miR-145-5p was able to suppress EMT by inactivating the c-Jun N-terminal kinase (JNK) signaling pathway in NSCLC cells.	29344125	(RAS & !(FOS | JUN | JNK | p38))
264	MAP3K1_3	MAP3K1, MAP3K2, MAP3K3	-	p38	Jnk and p38 mapk activation have antagonistic effects in many cases. From a mechanicistic point of view, the p38 mapk pathway can negatively regulate jnk activity at the level of map3ks, either by phosphorylating mlk3 or the tak1 regulatory subunit tab2	20626350	(RAS & !(FOS | JUN | JNK | p38))
265	MAP3K1_3	MAP3K1, MAP3K2, MAP3K3	+	RAS	Activation of ras may lead to two distinct ras-dependent pathways involving either a raf1/mek/mapk module or a mekk/sek/sapk module; jnk/sapk binds to the d domain near the nh2 terminus of mekk1 from approximately residues 6270 (9, 10). Pak1 can phosphorylate mekk1 on serine 67 within its jnk/sapk-binding d domain. Phosphorylation of mekk1 on serine 67 alters the state of the d domain, thereby decreasing its affinity for jnk/sapk. Under these conditions jnk/sapk is not recruited into the mekk1 signaling module.	8649450	(RAS & !(FOS | JUN | JNK | p38))
266	MDM2	MDM2	+	AKT	From Fumia et al, 2013	23922675	(((AKT | p53) & DAXX & !p14ARF & !ATR & !ATM))
267	MDM2	MDM2	-	ATM	From Fumia et al, 2013	23922675	(((AKT | p53) & DAXX & !p14ARF & !ATR & !ATM))
268	MDM2	MDM2	-	ATR	From Fumia et al, 2013	23922675	(((AKT | p53) & DAXX & !p14ARF & !ATR & !ATM))
